segment_id,track_sample_id,original_audio,label,label_id,source,genre,generator,audio_path,track_id,split,actual_duration_sec,planning_duration_sec,planned_segments,segment_index,segment_role,start_sec,end_sec,segment_duration_sec,available_audio_sec,pad_sec,requires_padding
seg_000000,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140932.mp3,140932.0,train,29.988571,30.0,3,0,start,0.0,10.0,10.0,10.0,0.0,False
seg_000001,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140932.mp3,140932.0,train,29.988571,30.0,3,1,middle,10.0,20.0,10.0,10.0,0.0,False
seg_000002,sample_00000,"10,000 People Chanting, ""I'm an Individual"" - Nihilore",REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/140/140932.mp3,140932.0,train,29.988571,30.0,3,2,end,20.0,30.0,10.0,9.988571,0.011429,True
seg_000003,sample_00001,1984 - Punk Rock Opera,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/149/149410.mp3,149410.0,train,30.014694,30.0,3,0,start,0.0,10.0,10.0,10.0,0.0,False
seg_000004,sample_00001,1984 - Punk Rock Opera,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/149/149410.mp3,149410.0,train,30.014694,30.0,3,1,middle,10.0,20.0,10.0,10.0,0.0,False
seg_000005,sample_00001,1984 - Punk Rock Opera,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/149/149410.mp3,149410.0,train,30.014694,30.0,3,2,end,20.0,30.0,10.0,10.0,0.0,False
seg_000006,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066449.mp3,66449.0,val,30.014694,30.0,3,0,start,0.0,10.0,10.0,10.0,0.0,False
seg_000007,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066449.mp3,66449.0,val,30.014694,30.0,3,1,middle,10.0,20.0,10.0,10.0,0.0,False
seg_000008,sample_00002,2 (Wasn't There) - Isle of Pine,REAL,0,FMA,Rock,,data/raw/FMA/selected_30s/066/066449.mp3,66449.0,val,30.014694,30.0,3,2,end,20.0,30.0,10.0,10.0,0.0,False
seg_000009,sample_00003,2Much (Andy Spinelli & Alex Sánchez House Edit) - Tentacles,REAL,0,FMA,Electronic,,data/raw/FMA/selected_30s/114/114244.mp3,114244.0,test,29.988571,30.0,3,0,start,0.0,10.0,10.0,10.0,0.0,False
